,asd_desc,agg_level_desc,year,crop,info,class_desc,domain_desc,unit_desc,commodity_desc,value
228,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"WHEAT, IRRIGATED ",ACRES HARVESTED,ALL CLASSES,TOTAL,ACRES,WHEAT,224000
243,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"WHEAT, NON-IRRIGATED ",ACRES HARVESTED,ALL CLASSES,TOTAL,ACRES,WHEAT,25000
258,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"WHEAT, NON-IRRIGATED, CONTINUOUS CROP ",ACRES HARVESTED,ALL CLASSES,TOTAL,ACRES,WHEAT,6800
273,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"WHEAT, NON-IRRIGATED, FOLLOWING SUMMER FALLOW ",ACRES HARVESTED,ALL CLASSES,TOTAL,ACRES,WHEAT,18200
288,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"WHEAT, SPRING, (EXCL DURUM) ",ACRES HARVESTED,"SPRING, (EXCL DURUM)",TOTAL,ACRES,WHEAT,110000
304,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"WHEAT, SPRING, (EXCL DURUM), IRRIGATED ",ACRES HARVESTED,"SPRING, (EXCL DURUM)",TOTAL,ACRES,WHEAT,1.00E+05
319,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"WHEAT, SPRING, (EXCL DURUM), NON-IRRIGATED ",ACRES HARVESTED,"SPRING, (EXCL DURUM)",TOTAL,ACRES,WHEAT,10000
334,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"WHEAT, SPRING, (EXCL DURUM), NON-IRRIGATED, CONTINUOUS CROP ",ACRES HARVESTED,"SPRING, (EXCL DURUM)",TOTAL,ACRES,WHEAT,6800
348,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"WHEAT, SPRING, (EXCL DURUM), NON-IRRIGATED, FOLLOWING SUMMER FALLOW ",ACRES HARVESTED,"SPRING, (EXCL DURUM)",TOTAL,ACRES,WHEAT,3200
361,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"WHEAT, WINTER ",ACRES HARVESTED,WINTER,TOTAL,ACRES,WHEAT,139000
376,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"WHEAT, WINTER, IRRIGATED ",ACRES HARVESTED,WINTER,TOTAL,ACRES,WHEAT,124000
389,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"WHEAT, WINTER, NON-IRRIGATED ",ACRES HARVESTED,WINTER,TOTAL,ACRES,WHEAT,15000
416,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"WHEAT, WINTER, NON-IRRIGATED, FOLLOWING SUMMER FALLOW ",ACRES HARVESTED,WINTER,TOTAL,ACRES,WHEAT,15000
435,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,POTATOES ,ACRES HARVESTED,ALL CLASSES,TOTAL,ACRES,POTATOES,106000
9,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,BARLEY ,"YIELD, MEASURED IN BU / ACRE",ALL CLASSES,TOTAL,BU / ACRE,BARLEY,94.7
24,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"BARLEY, IRRIGATED ","YIELD, MEASURED IN BU / ACRE",ALL CLASSES,TOTAL,BU / ACRE,BARLEY,101.2
39,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"BARLEY, NON-IRRIGATED ","YIELD, MEASURED IN BU / ACRE",ALL CLASSES,TOTAL,BU / ACRE,BARLEY,25.8
54,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"BARLEY, NON-IRRIGATED, CONTINUOUS CROP ","YIELD, MEASURED IN BU / ACRE",ALL CLASSES,TOTAL,BU / ACRE,BARLEY,26.4
69,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"BARLEY, NON-IRRIGATED, FOLLOWING SUMMER FALLOW ","YIELD, MEASURED IN BU / ACRE",ALL CLASSES,TOTAL,BU / ACRE,BARLEY,22
122,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"CORN, GRAIN ","YIELD, MEASURED IN BU / ACRE",ALL CLASSES,TOTAL,BU / ACRE,CORN,129.6
186,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,OATS ,"YIELD, MEASURED IN BU / ACRE",ALL CLASSES,TOTAL,BU / ACRE,OATS,75.6
218,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,WHEAT ,"YIELD, MEASURED IN BU / ACRE",ALL CLASSES,TOTAL,BU / ACRE,WHEAT,86.9
